app_id,category,reviews,size,installs,price,suitable_for,last_update,latest_ver,popularity
330090,PERSONALIZATION,4,511k,50+,0,Everyone,"December 31, 2016",1.4,High
226147,GAME,568391,5.2M,"5,000,000+",0,Teen,"July 1, 2014",4.3.1,High
107000,FAMILY,144,70M,"1,000+",$2.99,Teen,"January 26, 2018",1.0.0,High
217582,FAMILY,1499466,96M,"10,000,000+",0,Teen,"July 24, 2018",1.25.0,High
370113,DATING,84,4.5M,"1,000+",0,Mature 17+,"July 6, 2018",8.2,High
628931,PARENTING,247,28M,"100,000+",0,Everyone,"March 19, 2018",1.3.0,High
72280,PHOTOGRAPHY,180697,6.1M,"10,000,000+",0,Everyone,"April 25, 2017",2.2.5,High
793815,TOOLS,3988,11M,"1,000,000+",0,Everyone,"December 22, 2015",1.0.5,Low
660969,FAMILY,12,13M,"1,000+",0,Everyone,"February 3, 2018",1.3.4,Low
732069,MEDICAL,6,26M,"1,000+",0,Everyone,"May 25, 2018",1.0.32,High
366621,TOOLS,2,3.3M,10+,$0.99,Everyone,"July 26, 2018",1.05,High
186953,FAMILY,407,306k,"50,000+",0,Mature 17+,"April 11, 2017",1.0,Low
860518,MEDICAL,19,2.2M,"5,000+",0,Everyone,"May 12, 2018",1.4.15,Low
494309,GAME,4416,59M,"500,000+",0,Teen,"January 18, 2017",2.1.7,Low
451152,FAMILY,46369,33M,"10,000,000+",0,Everyone,"July 13, 2018",2.3,High
340082,MEDICAL,23160,26M,"1,000,000+",0,Everyone,"July 27, 2018",7.4.1,High
338644,MEDICAL,8348,2.6M,"500,000+",0,Everyone,"April 13, 2018",1.4.6,High
656750,FAMILY,246,35M,"50,000+",0,Teen,"September 23, 2016",1.0,Low
950624,TOOLS,7,3.9M,"1,000+",0,Everyone,"February 23, 2018",1.283.0037,High
381248,GAME,19922,35M,"100,000+",$1.99,Everyone 10+,"July 30, 2018",2.2.5,High
574097,SOCIAL,20675,96M,"1,000,000+",0,Teen,"August 2, 2018",4.4.0,Low
524260,FAMILY,6696,5.3M,"100,000+",0,Everyone,"February 7, 2018",3.1.0,High
93613,FAMILY,9652,53M,"1,000,000+",0,Everyone,"July 16, 2018",2.0.7.4,High
381931,BOOKS_AND_REFERENCE,90468,5.9M,"5,000,000+",0,Everyone,"May 27, 2018",1.911805270,High
475334,PERSONALIZATION,5,35M,50+,$0.99,Everyone,"April 22, 2018",1.1,High
455842,GAME,1976,21M,"100,000+",0,Teen,"March 3, 2018",1.6,Low
665370,FOOD_AND_DRINK,1,24M,100+,0,Everyone,"April 5, 2018",10,High
437745,FAMILY,23971,24M,"1,000,000+",0,Everyone,"August 4, 2018",39.231,High
832684,DATING,1093,5.8M,"100,000+",0,Mature 17+,"January 28, 2017",1.6.6,Low
870258,AUTO_AND_VEHICLES,4,4.5M,500+,0,Everyone,"November 28, 2017",1.3,High
736640,FINANCE,96,12M,"10,000+",0,Everyone,"June 22, 2018",4.17.38,High
539744,HEALTH_AND_FITNESS,95201,61M,"5,000,000+",0,Everyone,"July 9, 2018",2.4.1,High
362201,SHOPPING,214,1.8M,"10,000+",0,Everyone,"February 27, 2018",2.92,High
627637,FAMILY,305765,34M,"10,000,000+",0,Everyone,"July 31, 2018",1.1.7,High
197492,GAME,2071,36M,"100,000+",0,Everyone,"June 29, 2018",1.0.3,Low
90222,LIFESTYLE,5,15M,100+,0,Everyone,"April 25, 2016",1.2,High
929681,FAMILY,1,8.2M,10+,0,Everyone,"November 29, 2017",1.2.1,High
399433,FAMILY,1764,8.3M,"10,000+",$3.99,Everyone 10+,"June 22, 2016",1.3.8,High
897211,GAME,371318,90M,"10,000,000+",0,Everyone 10+,"June 8, 2018",10.1.6,High
263766,TOOLS,6505,2.0M,"50,000+",$2.99,Everyone,"November 3, 2017",6.4.0,High
368255,LIFESTYLE,41,2.9M,"1,000+",$379.99,Everyone,"July 1, 2018",1.0,Low
972260,PERSONALIZATION,5,4.5M,100+,$1.49,Everyone,"July 7, 2018",1.1,High
190551,GAME,408292,29M,"10,000,000+",$0.99,Mature 17+,"July 12, 2018",1.7.110758,High
503040,FOOD_AND_DRINK,14065,7.1M,"500,000+",0,Everyone,"June 12, 2018",1.2.2,High
