category,reviews,size,installs,price,suitable_for,last_update,latest_ver,popularity
TOOLS,3988,11M,"1,000,000+",0,Everyone,"December 22, 2015",1.0.5,Low
FAMILY,12,13M,"1,000+",0,Everyone,"February 3, 2018",1.3.4,Low
FAMILY,407,306k,"50,000+",0,Mature 17+,"April 11, 2017",1.0,Low
MEDICAL,19,2.2M,"5,000+",0,Everyone,"May 12, 2018",1.4.15,Low
GAME,4416,59M,"500,000+",0,Teen,"January 18, 2017",2.1.7,Low
FAMILY,246,35M,"50,000+",0,Teen,"September 23, 2016",1.0,Low
SOCIAL,20675,96M,"1,000,000+",0,Teen,"August 2, 2018",4.4.0,Low
GAME,1976,21M,"100,000+",0,Teen,"March 3, 2018",1.6,Low
DATING,1093,5.8M,"100,000+",0,Mature 17+,"January 28, 2017",1.6.6,Low
GAME,2071,36M,"100,000+",0,Everyone,"June 29, 2018",1.0.3,Low
LIFESTYLE,41,2.9M,"1,000+",$379.99,Everyone,"July 1, 2018",1.0,Low
SPORTS,1520,6.3M,"50,000+",0,Everyone,"April 17, 2018",3.7,Low
LIFESTYLE,81,7.7M,"10,000+",0,Everyone,"March 6, 2018",2.0.0.18.03.01,Low
FAMILY,2714,52M,"500,000+",0,Mature 17+,"November 19, 2017",1.1.8,Low
NEWS_AND_MAGAZINES,41490,25M,"5,000,000+",0,Teen,"July 24, 2018",4.6.0,Low
FAMILY,740,20M,"100,000+",0,Teen,"May 24, 2018",3.3.1.41,Low
GAME,1015,643k,"100,000+",0,Everyone,"November 11, 2015",1.3,Low
GAME,14823,40M,"1,000,000+",0,Teen,"February 15, 2017",4.0,Low
PRODUCTIVITY,12,2.2M,"1,000+",0,Everyone,"March 26, 2015",1.0.0.0,Low
PHOTOGRAPHY,20,4.3M,"1,000+",$2.99,Everyone,"June 18, 2018",1.4.7,Low
FAMILY,7,2.1M,100+,$3.99,Everyone,"March 23, 2017",1.0,Low
VIDEO_PLAYERS,78,322k,"10,000+",0,Everyone,"September 19, 2013",1.3,Low
NEWS_AND_MAGAZINES,124,12M,"10,000+",0,Everyone,"June 29, 2018",4.9.0,Low
TOOLS,53,3.4M,"1,000+",$1.49,Everyone,"May 19, 2018",1.91,Low
FAMILY,4,8.0M,"1,000+",0,Everyone,"June 8, 2017",1,Low
BOOKS_AND_REFERENCE,2539,8.6M,"500,000+",0,Everyone,"July 26, 2018",1.1.6,Low
HEALTH_AND_FITNESS,32,9.6M,"1,000+",0,Everyone,"May 22, 2018",5.9,Low
PRODUCTIVITY,617,46M,"100,000+",0,Everyone,"April 17, 2018",1.5.3,Low
FINANCE,204,29M,"10,000+",0,Everyone,"May 9, 2018",18.1.79,Low
TRAVEL_AND_LOCAL,69,31M,"10,000+",0,Everyone,"June 11, 2018",3.4.1,Low
BOOKS_AND_REFERENCE,15,12M,"1,000+",0,Everyone,"November 17, 2017",1.2,Low
SOCIAL,3640,9.1M,"500,000+",0,Mature 17+,"June 13, 2016",3.1.9,Low
TOOLS,163997,16M,"10,000,000+",0,Everyone,"August 5, 2018",5.36,Low
VIDEO_PLAYERS,32,33M,"5,000+",0,Everyone,"July 9, 2018",3.1.0,Low
NEWS_AND_MAGAZINES,636,1.4M,"100,000+",0,Everyone,"June 8, 2018",1.12.2,Low
FAMILY,2580,53M,"100,000+",0,Everyone,"July 6, 2018",10,Low
COMMUNICATION,10,3.8M,100+,$1.49,Everyone,"May 12, 2018",2.1.4,Low
FAMILY,606,42M,"50,000+",0,Everyone 10+,"August 16, 2016",1.2,Low
GAME,33,3.1M,"1,000+",0,Everyone,"December 25, 2017",1.10,Low
MEDICAL,1838,21M,"100,000+",0,Everyone,"July 2, 2018",2.11.0,Low
TOOLS,427,9.5M,"100,000+",0,Everyone,"May 4, 2018",1.7.6,Low
MEDICAL,315,22M,"100,000+",0,Everyone,"October 10, 2017",1.0.02,Low
DATING,31320,53M,"5,000,000+",0,Mature 17+,"July 30, 2018",6.6.5,Low
MEDICAL,51,2.4M,"1,000+",$29.99,Everyone,"October 22, 2014",2.0.2,Low
TOOLS,67,65M,"10,000+",0,Everyone,"June 2, 2017",1.0.8,Low
LIFESTYLE,377,6.1M,"100,000+",0,Everyone,"March 21, 2017",1.1.4,Low
BUSINESS,322,1.5M,"50,000+",0,Everyone,"March 28, 2017",2.13,Low
COMMUNICATION,497,36M,"100,000+",0,Everyone,"July 17, 2018",8.6.2,Low
MEDICAL,30,887k,500+,0,Everyone,"May 27, 2016",1.1,Low
FAMILY,31596,31M,"5,000,000+",0,Teen,"December 23, 2016",1.5,Low
TOOLS,27,5.0M,"5,000+",0,Everyone,"May 31, 2018",10.1.0,Low
SHOPPING,4,1.2M,"1,000+",0,Everyone,"July 1, 2018",10.0,Low
HEALTH_AND_FITNESS,44,49M,"1,000+",0,Everyone,"August 1, 2018",1.0.1,Low
FAMILY,20843,14M,"1,000,000+",0,Teen,"August 2, 2018",3.3.85.2,Low
MEDICAL,35,24M,"1,000+",$15.46,Everyone,"May 27, 2015",2.0.3,Low
HEALTH_AND_FITNESS,3,9.4M,100+,0,Everyone 10+,"June 28, 2018",7.4.8,Low
FAMILY,79,33M,"5,000+",0,Everyone,"May 27, 2015",1.03,Low
TOOLS,35,916k,"1,000+",0,Everyone,"October 23, 2017",0.2,Low
FINANCE,139,3.3M,"10,000+",0,Everyone,"June 19, 2017",3.0.5,Low
HEALTH_AND_FITNESS,224,371k,"10,000+",0,Everyone,"July 9, 2014",1.2.6,Low
FAMILY,9126,5.8M,"1,000,000+",0,Everyone,"June 8, 2016",1.0.9,Low
BOOKS_AND_REFERENCE,50,4.9M,"1,000+",$1.99,Everyone,"February 22, 2017",2.0,Low
TOOLS,30,22M,"5,000+",0,Everyone,"June 7, 2017",1.2.2,Low
MEDICAL,1,29M,50+,0,Everyone,"June 27, 2017",7.9.0.5192,Low
TOOLS,13,3.0M,"1,000+",0,Everyone,"July 18, 2017",1.01,Low
AUTO_AND_VEHICLES,46,6.6M,"1,000+",0,Everyone,"June 26, 2018",3.4,Low
FAMILY,4114,14M,"100,000+",0,Everyone,"July 10, 2018",3.29,Low
BUSINESS,87,26M,"5,000+",0,Everyone,"April 26, 2018",1.6.0.0,Low
TOOLS,472,2.0M,"100,000+",0,Everyone,"October 17, 2017",1.3,Low
PHOTOGRAPHY,13,7.9M,"1,000+",0,Everyone,"January 29, 2018",1.2.0.9,Low
TOOLS,43,2.3M,"5,000+",0,Everyone,"October 10, 2017",3.1.8,Low
FAMILY,1242,14M,"50,000+",0,Everyone,"April 24, 2018",1.7.0,Low
HEALTH_AND_FITNESS,10,3.3M,"1,000+",0,Everyone,"April 5, 2018",1.8,Low
PRODUCTIVITY,63,1.8M,"5,000+",0,Everyone,"September 27, 2016",2.0.1027,Low
FAMILY,33178,3.1M,"1,000,000+",0,Everyone,"February 2, 2015",1.0.5,Low
PERSONALIZATION,8,5.3M,100+,0,Everyone,"June 5, 2015",1.1,Low
MAPS_AND_NAVIGATION,168,53M,"10,000+",0,Everyone,"May 1, 2018",3.19.34,Low
GAME,23,37M,"1,000+",$0.99,Everyone,"December 27, 2017",2.2.1,Low
SPORTS,4057,26M,"500,000+",0,Everyone,"May 10, 2018",3.2.12,Low
SPORTS,17,14M,"1,000+",0,Everyone,"December 21, 2017",1.0.0,Low
GAME,1995,43M,"100,000+",0,Everyone,"June 28, 2016",1.2.2,Low
DATING,13890,20M,"500,000+",0,Mature 17+,"June 19, 2018",4.9.2,Low
PHOTOGRAPHY,3032,2.8M,"500,000+",0,Everyone,"December 8, 2017",1.3,Low
PRODUCTIVITY,16,293k,100+,$6.49,Everyone,"May 3, 2014",1.0,Low
VIDEO_PLAYERS,30,15M,"5,000+",0,Everyone,"July 25, 2018",3.1.0.1.4,Low
DATING,1,5.5M,500+,0,Mature 17+,"July 19, 2018",1.0,Low
FAMILY,14,11M,"1,000+",0,Everyone,"January 19, 2015",1.2,Low
FINANCE,2,7.2M,"1,000+",0,Everyone,"July 25, 2017",1.0.1,Low
BUSINESS,20973,31M,"5,000,000+",0,Everyone,"August 1, 2018",8.2.0.84,Low
FAMILY,6,2.9M,"1,000+",0,Everyone,"April 25, 2017",1.0.1,Low
FAMILY,17,32M,"1,000+",0,Everyone,"March 7, 2018",1.1,Low
PRODUCTIVITY,43,48M,"1,000+",0,Everyone,"June 18, 2018",1.2,Low
TOOLS,29854,5.0M,"1,000,000+",0,Everyone,"July 19, 2017",5.0,Low
LIFESTYLE,11,6.2M,"1,000+",0,Everyone,"June 12, 2018",2.4.78,Low
FAMILY,429,18M,"10,000+",0,Everyone,"July 6, 2018",3.9.1,Low
